Lot;Longueur;Poids
V;95;14,3
V;85;9,9
V;100;16,6
V;91;13,2
V;101;17,8
V;104;18,5
V;92;12,8
V;95;14,7
V;103;19,1
V;84;9,4
V;98;16,7
V;96;14,7
V;99;15,7
V;104;18,4
V;99;18,4
V;88;11,0
V;99;16,8
V;93;13,5
V;94;13,9
V;104;19,1
V;95;14,7
V;96;15,9
V;81;9,5
V;99;16,1
V;100;17,1
V;98;16,9
V;95;15,3
V;100;16,6
V;106;21,0
V;100;15,8
V;82;10,3
V;108;22,6
V;94;13,6
V;95;15,6
V;98;16,7
V;105;20,6
V;104;19,1
V;95;14,6
V;99;16,8
V;105;19,8
V;99;18,4
V;107;23,5
V;105;20,7
V;110;23,9
V;99;17,1
V;90;12,6
V;108;23,4
V;99;19,5
V;95;15,1
V;89;11,7
V;96;17,3
V;92;13,2
V;93;14,5
V;95;15,4
V;79;8,9
V;98;16,6
V;85;11,0
V;91;13,7
V;96;14,6
V;96;17,1
V;99;16,5
V;87;12,2
V;110;24,5
V;93;13,1
V;95;17,2
V;95;15,2
V;105;20,2
V;96;14,5
V;96;16,3
V;116;29,0
V;82;9,0
V;92;14,7
V;99;15,4
V;95;14,2
V;102;18,2
V;94;14,6
V;94;14,4
V;95;15,4
V;91;12,5
V;93;13,3
V;94;14,5
V;105;21,8
V;100;16,8
V;92;14,7
V;86;11,4
V;98;16,7
V;88;12,7
V;97;15,6
V;96;15,7
V;95;16,4
V;81;9,2
V;96;14,6
V;94;14,9
V;96;16,2
V;98;15,5
V;100;18,0
V;86;11,5
V;93;15,0
V;103;19,1
V;74;6,9
V;90;12,9
V;96;15,0
V;95;14,6
V;93;14,9
V;92;13,0
V;99;16,2
V;90;12,2
V;98;16,2
V;91;14,4
V;94;15,3
V;97;16,1
V;88;11,5
V;85;10,5
V;85;11,6
V;91;13,4
V;89;12,1
V;102;19,0
V;96;16,1
V;84;10,0
V;88;10,1
T;106;20,3
T;114;24,7
T;106;20,1
T;116;25,5
T;109;23,5
T;106;21,2
T;111;25,1
T;105;20,3
T;114;25,5
T;107;20,3
T;109;23,3
T;114;25,7
T;108;20,4
T;105;19,9
T;116;25,9
T;110;23,0
T;105;22,8
T;118;29,2
T;108;22,1
T;111;24,3
T;113;23,8
T;116;29,6
T;110;25,2
T;113;24,5
T;116;28,0
T;105;18,9
T;110;21,9
T;110;24,7
T;109;22,0
T;100;16,9
T;107;22,6
T;130;37,0
T;111;24,5
T;115;26,0
T;116;26,8
T;109;23,0
T;119;29,9
T;110;21,6
T;112;25,5
T;106;21,1
T;102;17,5
T;109;22,0
T;112;26,8
T;106;19,3
T;109;22,6
T;118;27,9
T;105;20,2
T;105;21,1
T;123;31,9
T;117;29,8
T;107;19,1
T;99;16,8
T;110;23,7
T;109;23,3
T;106;19,6
T;110;27,1
T;110;23,5
T;111;22,2
T;117;28,6
T;114;27,4
T;118;27,4
T;111;23,1
T;112;24,5
T;112;24,6
T;112;23,2
T;115;25,9
T;124;32,4
T;93;11,7
T;103;19,4
T;108;21,6
T;106;20,1
T;116;26,8
T;109;20,9
T;100;17,8
T;101;18,0
T;116;28,2
T;109;20,9
T;110;23,5
T;115;26,3
T;106;19,7
T;115;26,5
T;100;17,0
T;109;24,9
T;110;23,4
T;107;20,9
T;104;17,6
T;113;24,2
T;104;18,5
T;112;26,0
T;112;22,9
T;109;24,1
T;115;27,7
T;107;22,1
T;103;18,1
T;113;25,2
T;110;22,1
T;99;16,0
T;119;30,7
T;104;17,8
T;104;17,0
T;100;17,1
T;117;27,2
T;112;25,0
T;106;20,0
T;108;20,5
T;122;30,2
T;103;18,2
T;110;22,1
T;114;26,5
T;99;15,1
T;111;23,3
T;102;7,9
T;109;23,4
T;117;27,9
VM;104;19,3
VM;114;27,4
VM;112;25,8
VM;117;32,4
VM;113;26,8
VM;104;18,6
VM;114;27,1
VM;113;26,5
VM;116;29,7
